Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,AAPL,AMZN,GOOGL,MSFT,AAPL,AMZN,GOOGL,MSFT,AAPL,AMZN,GOOGL,MSFT,AAPL,AMZN,GOOGL,MSFT
Date,,,,,,,,,,,,,,,,,,,,
2020-01-02,72.46827697753906,94.90049743652344,67.9652328491211,152.50564575195312,72.52859683396065,94.90049743652344,67.9652328491211,152.61008924980365,71.223274257406,93.2074966430664,66.86333571006601,150.33134046315942,71.47661470907116,93.75,66.9586787875548,150.75860404966377,135480400,80580000,27278000,22622100
2020-01-03,71.76371765136719,93.74849700927734,67.60968780517578,150.60670471191406,72.52374615608241,94.30999755859375,68.21700271420914,151.8695164582388,71.53932961570813,93.2249984741211,66.90455208946976,150.07499755302646,71.6961597256872,93.2249984741211,66.93832337803212,150.32187193960533,146322800,75288000,23408000,21116200
2020-01-06,72.33554077148438,95.14399719238281,69.4117660522461,150.9960174560547,72.3741463481867,95.18450164794922,69.43708883609668,151.06248810455452,70.63452442658405,93.0,67.08729816087028,148.6033204049661,70.88545699351877,93.0,67.11857657252054,149.1445317269712,118387200,81236000,46768000,20813700
2020-01-07,71.9953384399414,95.34300231933594,69.2776870727539,149.6192626953125,72.60094451443848,95.69450378417969,69.69431580950295,151.60367510473966,71.77577337938688,94.60199737548828,69.10140504019108,149.37240277675932,72.34518902923438,95.2249984741211,69.54335656021222,151.27136534760285,108872000,80898000,34330000,21634100
2020-01-08,73.15349578857422,94.59850311279297,69.77078247070312,152.00247192382812,73.45509501348069,95.55000305175781,70.10894997178289,152.67661008398238,71.69858142215591,94.3219985961914,69.15453414305767,149.97058233307885,71.69858142215591,94.9020004272461,69.26328117365361,150.9010700366723,132079200,70160000,35314000,27746500
2020-01-09,74.70735168457031,95.05249786376953,70.50323486328125,153.90145874023438,74.90037228480348,95.89099884033203,70.94468628827275,154.02489597609247,73.87976500025633,94.79000091552734,70.0275120595761,152.89501062983652,74.13069030790666,95.49449920654297,70.60949659555637,153.66408835616173,170108400,63346000,33200000,21385000
2020-01-10,74.87622833251953,94.15799713134766,70.95860290527344,153.18930053710938,75.44082857328132,95.34700012207031,71.25555843063263,154.97432991321804,74.37437045138542,94.0,70.49381382407984,153.03738006085885,74.94137847897954,95.26850128173828,70.98393326993052,154.59454321052573,140644800,57074000,26258000,20725900
2020-01-13,76.47591400146484,94.56500244140625,71.50830841064453,155.03126525878906,76.50245856347271,94.9000015258789,71.58030634593166,155.05974853136001,75.07408132346671,94.04000091552734,70.78032760337808,153.11330947406935,75.19231323252647,94.56549835205078,71.2709395073884,153.58805000082654,121532000,55616000,30730000,21626500
